DMM,PCB,,,,
0.995823,1.0289,,,,
0.995832,1.0289,,,,
0.995915,1.029,,,,
0.995834,1.0286,,,,
0.995824,1.0288,,,,
0.995828,1.029,,,,
0.995926,1.0289,,,,
0.995827,1.0288,,,,
0.995833,1.0291,,,,
0.995892,1.0292,,,,
0.995833,1.0291,,,,
0.995819,1.0285,,,,
0.995861,4.95,,,,
0.995884,4.9708,,,,
0.995828,4.973,,,,
0.995824,4.9736,,,,
4.919913,4.974,,,,
4.921187,4.974,,,,
4.921830,4.9746,,,,
4.922060,4.9745,,,,
4.922250,4.9743,,,,
4.922479,4.9741,,,,
4.922491,4.9743,,,,
4.922584,2.9025,,,,
1.991917,2.017,,,,
1.977581,2.0152,,,,
1.976536,2.0142,,,,
1.976158,2.0137,,,,
1.976024,2.0142,,,,
1.975830,2.0141,,,,
0.996924,2.0135,,,,
0.996592,1.0316,,,,
0.996318,1.0301,,,,
0.996225,1.0294,,,,
0.996166,1.0293,,,,
0.996163,1.0292,,,,
0.996046,1.0292,,,,
0.996032,1.0292,,,,
0.996052,1.0296,,,,
0.995983,1.0289,,,,
0.995958,1.0293,,,,
0.996037,1.029,,,,
0.995937,1.0289,,,,
0.995934,1.0287,,,,
0.995917,1.029,,,,
1.974922,1.0291,,,,
1.975092,1.0291,,,,
1.975214,1.0287,,,,
1.975336,1.0291,,,,
1.975309,1.0289,,,,
1.975345,1.0368,,,,
1.975404,2.0118,,,,
1.975403,2.0122,,,,
1.975402,2.0128,,,,
1.975399,2.013,,,,
1.975467,2.0128,,,,
1.975413,2.0135,,,,
1.975428,2.0138,,,,
1.975521,2.0128,,,,
1.975437,2.0127,,,,
3.906738,2.0129,,,,
3.933011,2.0137,,,,
3.933916,2.0131,,,,
3.934330,2.0132,,,,
3.934473,2.0135,,,,
3.934592,2.013,,,,
3.934773,2.0129,,,,
3.934771,2.0131,,,,
3.934815,2.0134,,,,
3.935598,2.0132,,,,
3.934967,2.0132,,,,
3.934916,3.9783,,,,
3.934940,3.9803,,,,
3.935030,3.9812,,,,
3.934982,3.9814,,,,
3.934982,3.9818,,,,
5.885898,3.982,,,,
5.900827,3.9815,,,,
5.902030,3.9821,,,,
5.902477,3.9817,,,,
5.902721,3.9821,,,,
5.902953,3.9822,,,,
5.902986,3.9818,,,,
5.903120,3.9819,,,,
5.903206,3.982,,,,
5.903298,3.9819,,,,
5.903274,3.9821,,,,
5.903279,3.9823,,,,
5.903429,3.9815,,,,
5.903403,3.9826,,,,
5.903420,4.8911,,,,
5.903495,5.9564,,,,
7.722083,5.9584,,,,
7.869516,5.9589,,,,
7.871418,5.9588,,,,
7.872189,5.9591,,,,
7.872434,5.9595,,,,
7.872627,5.9599,,,,
7.872844,5.9598,,,,
7.872880,5.9596,,,,
7.872966,5.9597,,,,
7.873092,5.9599,,,,
7.873112,5.9597,,,,
7.873124,5.96,,,,
7.873163,5.96,,,,
7.873258,5.9601,,,,
7.873217,5.9597,,,,
7.873240,5.96,,,,
8.698227,5.9602,,,,
9.838916,5.9602,,,,
9.841649,5.9601,,,,
9.842575,7.9326,,,,
9.842962,7.9367,,,,
9.843191,7.9382,,,,
9.843394,7.9382,,,,
9.843555,7.9386,,,,
9.843567,7.9386,,,,
9.843656,7.9388,,,,
9.843832,7.9391,,,,
9.843760,7.9392,,,,
9.843835,7.9394,,,,
9.843864,7.9392,,,,
9.843975,7.9395,,,,
9.843879,7.9393,,,,
9.843909,7.9392,,,,
11.808658,7.9392,,,,
11.812738,7.9393,,,,
11.813896,7.939,,,,
11.814473,7.9397,,,,
11.814655,7.9396,,,,
11.814881,7.9393,,,,
11.815006,9.9105,,,,
11.815221,9.9164,,,,
11.815185,9.9179,,,,
11.815233,9.9182,,,,
11.815334,9.9185,,,,
11.815289,9.9185,,,,
11.815346,9.9186,,,,
11.815432,9.919,,,,
11.815405,9.9192,,,,
13.789840,9.919,,,,
13.789360,9.919,,,,
13.789030,9.9191,,,,
13.788850,9.9197,,,,
13.788850,9.9197,,,,
13.788670,9.9196,,,,
13.788650,9.9197,,,,
13.788620,9.9196,,,,
13.788470,9.9191,,,,
13.788490,9.9194,,,,
13.788470,9.9191,,,,
13.788350,11.8877,,,,
13.788340,11.8962,,,,
13.788350,11.898,,,,
13.788330,11.8993,,,,
15.583840,11.8991,,,,
15.756520,11.8993,,,,
15.759080,11.8999,,,,
15.759910,11.9001,,,,
15.760390,11.9,,,,
15.760660,11.9,,,,
15.760810,11.9001,,,,
15.760830,11.9002,,,,
15.760850,11.9001,,,,
15.760870,11.9003,,,,
15.760890,11.9005,,,,
15.760910,11.9004,,,,
15.760920,11.9005,,,,
15.760920,11.9,,,,
15.760940,11.9003,,,,
15.760940,11.9001,,,,
16.469330,13.8734,,,,
17.728740,13.8786,,,,
17.732490,13.8802,,,,
17.733420,13.8808,,,,
17.733890,13.8814,,,,
17.734250,13.8812,,,,
17.734270,13.8816,,,,
17.734280,13.8815,,,,
17.734400,13.8816,,,,
17.734410,13.8818,,,,
17.734400,13.8819,,,,
17.734370,13.8815,,,,
17.734520,13.8816,,,,
17.734220,13.8818,,,,
17.734200,13.8821,,,,
17.734210,13.8821,,,,
19.456920,13.8818,,,,
19.695690,13.882,,,,
19.698490,13.8819,,,,
19.699390,13.8818,,,,
19.699860,15.8544,,,,
19.699870,15.8608,,,,
19.700160,15.8619,,,,
19.700160,15.8628,,,,
19.700140,15.8634,,,,
19.700140,15.8637,,,,
19.700120,15.8637,,,,
19.700100,15.8638,,,,
19.699950,15.8638,,,,
19.699970,15.864,,,,
19.699800,15.8639,,,,
19.699780,15.8644,,,,
20.244790,15.8642,,,,
21.658410,15.8642,,,,
21.664340,15.8641,,,,
21.663860,15.8641,,,,
21.665230,15.8639,,,,
21.664190,15.8638,,,,
21.665620,15.8644,,,,
21.666600,15.864,,,,
21.664970,17.8343,,,,
21.665230,17.8431,,,,
21.665440,17.8448,,,,
21.664640,17.8461,,,,
21.666750,17.8466,,,,
21.664340,17.8464,,,,
21.665230,17.8468,,,,
21.667970,17.8467,,,,
21.665770,17.8469,,,,
23.624620,17.8469,,,,
23.631710,17.8472,,,,
23.631500,17.8465,,,,
23.632750,17.8462,,,,
23.632540,17.8465,,,,
23.632990,17.8467,,,,
23.632300,17.8466,,,,
23.632630,17.8462,,,,
23.632990,17.8468,,,,
23.632570,17.8465,,,,
23.633350,18.1568,,,,
23.632030,19.8139,,,,
23.633460,19.8193,,,,
23.633480,19.8197,,,,
23.633490,19.8211,,,,
23.634660,19.821,,,,
25.592910,19.8211,,,,
25.599460,19.8212,,,,
25.601900,19.8216,,,,
25.599790,19.8213,,,,
25.601100,19.8212,,,,
25.601100,19.8214,,,,
25.603010,19.8214,,,,
25.601870,19.8215,,,,
25.599460,19.8216,,,,
25.599910,19.8214,,,,
25.603070,19.8217,,,,
25.599700,19.8215,,,,
25.602380,19.8209,,,,
25.600180,19.8208,,,,
25.601870,19.8203,,,,
25.600000,21.784,,,,
27.553930,21.7913,,,,
27.560400,21.7948,,,,
27.560810,21.7931,,,,
27.561380,21.7938,,,,
27.559620,21.7969,,,,
27.560010,21.7953,,,,
27.560030,21.7947,,,,
27.559320,21.7962,,,,
27.561080,21.7947,,,,
27.561880,21.797,,,,
27.560420,21.7948,,,,
27.560720,21.797,,,,
27.558940,21.7972,,,,
27.559260,21.7963,,,,
27.558670,21.7953,,,,
27.559530,21.7943,,,,
29.518230,21.797,,,,
29.523770,21.7971,,,,
29.528420,21.7963,,,,
29.527170,23.3622,,,,
29.528240,23.7696,,,,
29.528250,23.772,,,,
29.528220,23.7717,,,,
29.525110,23.7718,,,,
29.527290,23.7737,,,,
29.526660,23.7716,,,,
29.525590,23.7712,,,,
29.526750,23.771,,,,
29.523560,23.7715,,,,
29.523860,23.771,,,,
29.523560,23.774,,,,
29.523740,23.7735,,,,
31.479910,23.774,,,,
31.489410,23.769,,,,
31.493070,23.7725,,,,
31.493550,23.7701,,,,
31.490540,23.7708,,,,
31.491850,23.7713,,,,
31.490660,23.7739,,,,
31.491790,25.7356,,,,
31.490010,25.7442,,,,
31.492030,25.7478,,,,
31.490690,25.7476,,,,
31.489230,25.7479,,,,
31.487770,25.7486,,,,
31.488760,25.7483,,,,
31.488370,25.7489,,,,
31.488070,25.7498,,,,
33.430950,25.7488,,,,
33.451740,25.7471,,,,
33.454600,25.7466,,,,
33.454010,25.745,,,,
33.453350,25.7472,,,,
33.454130,25.7468,,,,
33.452370,25.7496,,,,
33.450280,25.7472,,,,
33.449630,25.745,,,,
33.450080,25.7486,,,,
33.449690,25.7474,,,,
33.446680,27.7107,,,,
33.447220,27.7131,,,,
33.445460,27.7168,,,,
33.445100,27.718,,,,
33.444450,27.7169,,,,
35.392240,27.7155,,,,
35.401240,27.7179,,,,
35.402820,27.7167,,,,
35.401980,27.7154,,,,
35.399330,27.7176,,,,
35.398710,27.7166,,,,
35.398560,27.7148,,,,
35.396380,27.7149,,,,
35.396200,27.7148,,,,
35.393430,27.7152,,,,
35.392270,27.7135,,,,
35.391710,27.7159,,,,
35.388310,27.7127,,,,
35.387300,27.715,,,,
35.384950,27.7125,,,,
35.384560,29.6817,,,,
38.601920,29.6896,,,,
38.405800,29.6905,,,,
38.405980,29.6909,,,,
38.405590,29.6931,,,,
38.406760,29.6919,,,,
38.405890,29.6917,,,,
38.404940,29.6903,,,,
38.404400,29.6875,,,,
38.404820,29.6907,,,,
38.404460,29.6903,,,,
38.403720,29.691,,,,
38.402620,29.6872,,,,
38.401900,29.6896,,,,
38.400800,29.6882,,,,
38.401510,29.6865,,,,
38.399520,29.6855,,,,
1.009877,29.6881,,,,
1.003729,29.6882,,,,
1.001470,29.6862,,,,
0.999827,31.6538,,,,
